,molecule_chembl_id,canonical_smiles,classe_bioatividade,standard_value
3132,CHEMBL1983100,O=C(CN1CCNCC1)NC1CCCCC1,Inactive,19952.62
3133,CHEMBL1443577,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,Inactive,20000.0
3134,CHEMBL1443577,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,Inactive,19952.62
3135,CHEMBL3707255,CC1(C)OC2(C)C(O)CC1CC2O,Inactive,20000.0
3136,CHEMBL3707255,CC1(C)OC2(C)C(O)CC1CC2O,Inactive,19952.62
3137,CHEMBL1740065,CCC(C)(CN(C)C)OC(=O)c1ccccc1,Inactive,20000.0
3138,CHEMBL1740065,CCC(C)(CN(C)C)OC(=O)c1ccccc1,Inactive,19952.62
3139,CHEMBL1314065,Cc1cc(C(C)(C)CC(C)(C)C)ccc1OCCOCC[N+](C)(C)Cc1ccccc1,Inactive,20000.0
3140,CHEMBL1314065,Cc1cc(C(C)(C)CC(C)(C)C)ccc1OCCOCC[N+](C)(C)Cc1ccccc1,Inactive,19952.62
3141,CHEMBL1201270,C1N2CN3CN1CN(C2)C3,Inactive,20000.0
3142,CHEMBL1201270,C1N2CN3CN1CN(C2)C3,Inactive,19952.62
3143,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inactive,20000.0
3144,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inactive,19952.62
3145,CHEMBL1614637,CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Inactive,20000.0
3146,CHEMBL1614637,CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Inactive,19952.62
3147,CHEMBL1201392,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Inactive,20000.0
3148,CHEMBL1201392,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Inactive,19952.62
3149,CHEMBL423429,c1cncc(C2=NCCC2)c1,Inactive,20000.0
3150,CHEMBL423429,c1cncc(C2=NCCC2)c1,Inactive,19952.62
3151,CHEMBL41632,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,Inactive,20000.0
3152,CHEMBL41632,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,Inactive,19952.62
3153,CHEMBL451532,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Inactive,20000.0
3154,CHEMBL451532,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Inactive,19952.62
3155,CHEMBL465843,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,Inactive,50100.0
